Date,Price,Open,High,Low,Vol.,Change %,,,Predicted_Close
02/20/2014,"6,812.99","6,796.71","6,812.99","6,732.03",742.46M,0.24%,,,6739.17627
02/19/2014,"6,796.71","6,796.43","6,810.48","6,759.86",793.95M,0.00%,,,6733.226563
02/18/2014,"6,796.43","6,736.00","6,802.89","6,716.64",826.63M,0.90%,,,6671.764648
02/17/2014,"6,736.00","6,663.62","6,745.63","6,661.47",630.25M,1.09%,,,6606.744141
02/14/2014,"6,663.62","6,659.42","6,672.21","6,646.47",912.78M,0.06%,,,6605.165039
02/13/2014,"6,659.42","6,675.03","6,675.24","6,608.09",1.17B,-0.23%,,,6619.714355
02/12/2014,"6,675.03","6,672.66","6,708.17","6,669.06",820.07M,0.04%,,,6610.343262
02/11/2014,"6,672.66","6,591.55","6,672.66","6,591.55",934.91M,1.23%,,,6537.466797
02/10/2014,"6,591.55","6,571.68","6,597.00","6,565.30",593.69M,0.30%,,,6519.865234
02/07/2014,"6,571.68","6,558.28","6,596.28","6,540.81",708.47M,0.20%,,,6498.466797
02/06/2014,"6,558.28","6,457.89","6,566.01","6,457.89",815.15M,1.55%,,,6408.664551
02/05/2014,"6,457.89","6,449.27","6,483.73","6,423.79",810.17M,0.13%,,,6402.85498
02/04/2014,"6,449.27","6,465.66","6,478.16","6,416.72",922.89M,-0.25%,,,6422.37207
02/03/2014,"6,465.66","6,510.44","6,538.30","6,459.95",829.89M,-0.69%,,,6465.196777
01/31/2014,"6,510.44","6,538.45","6,548.46","6,421.26",751.20M,-0.43%,,,6490.665527
01/30/2014,"6,538.45","6,544.28","6,573.92","6,503.25",755.89M,-0.09%,,,6497.996094
01/29/2014,"6,544.28","6,572.33","6,645.23","6,482.74",990.21M,-0.43%,,,6518.44043
01/28/2014,"6,572.33","6,550.66","6,590.66","6,550.65",675.70M,0.33%,,,6509.966309
01/27/2014,"6,550.66","6,663.74","6,665.39","6,539.33",985.29M,-1.70%,,,6620.699707
01/24/2014,"6,663.74","6,773.28","6,784.42","6,654.86",844.75M,-1.62%,,,6722.871094
01/23/2014,"6,773.28","6,826.33","6,837.21","6,760.63",668.66M,-0.78%,,,6770.616699
01/22/2014,"6,826.33","6,834.26","6,864.87","6,821.80",548.74M,-0.12%,,,6777.857422
01/21/2014,"6,834.26","6,836.73","6,867.42","6,822.31",618.28M,-0.04%,,,6779.29834
01/20/2014,"6,836.73","6,829.30","6,837.53","6,810.62",424.81M,0.11%,,,6771.533691
01/17/2014,"6,829.30","6,815.42","6,840.50","6,800.00",999.74M,0.20%,,,6760.05957
01/16/2014,"6,815.42","6,819.86","6,831.74","6,811.16",714.15M,-0.07%,,,6758.940918
01/15/2014,"6,819.86","6,766.86","6,825.20","6,766.86",693.72M,0.78%,,,6711.059082
01/14/2014,"6,766.86","6,757.15","6,772.63","6,694.08",568.35M,0.14%,,,6700.60791
01/13/2014,"6,757.15","6,739.94","6,765.60","6,730.97",598.03M,0.26%,,,6679.628418
01/10/2014,"6,739.94","6,691.34","6,769.94","6,691.34",811.61M,0.73%,,,6639.162109
01/09/2014,"6,691.34","6,721.78","6,746.41","6,679.31",782.90M,-0.45%,,,6669.462402
01/08/2014,"6,721.78","6,755.45","6,755.53","6,713.39",720.03M,-0.50%,,,6696.472168
01/07/2014,"6,755.45","6,730.73","6,768.89","6,718.07",672.38M,0.37%,,,6673.837891
01/06/2014,"6,730.73","6,730.67","6,751.98","6,714.64",524.39M,0.00%,,,6671.760254
01/03/2014,"6,730.67","6,717.91","6,747.33","6,699.27",374.84M,0.19%,,,6663.137695
01/02/2014,"6,717.91","6,749.09","6,759.37","6,707.48",459.53M,-0.46%,,,6688.865723
12/31/2013,"6,749.09","6,731.27","6,756.98","6,731.25",153.45M,0.26%,,,6675.269043
12/30/2013,"6,731.27","6,750.87","6,768.44","6,718.16",295.36M,-0.29%,,,6687.570801
12/27/2013,"6,750.87","6,694.17","6,754.11","6,694.17",291.26M,0.85%,,,6636.280762
12/24/2013,"6,694.17","6,678.61","6,712.10","6,672.22",101.67M,0.23%,,,6616.19043
12/23/2013,"6,678.61","6,606.58","6,678.61","6,606.20",352.00M,1.09%,,,6550.735352
12/20/2013,"6,606.58","6,584.70","6,616.80","6,576.79",1.10B,0.33%,,,6522.22998
12/19/2013,"6,584.70","6,492.08","6,584.70","6,492.08",648.65M,1.43%,,,6439.932617
12/18/2013,"6,492.08","6,486.19","6,524.46","6,486.19",529.48M,0.09%,,,6439.149414
12/17/2013,"6,486.19","6,522.20","6,522.20","6,482.59",584.05M,-0.55%,,,6462.519531
12/16/2013,"6,522.20","6,439.96","6,531.16","6,422.23",653.80M,1.28%,,,6389.781738
12/13/2013,"6,439.96","6,445.25","6,462.76","6,433.51",694.45M,-0.08%,,,6400.947266
12/12/2013,"6,445.25","6,507.72","6,507.72","6,435.99",663.53M,-0.96%,,,6457.970215
12/11/2013,"6,507.72","6,523.31","6,555.57","6,507.72",524.48M,-0.24%,,,6476.293945
12/10/2013,"6,523.31","6,559.48","6,571.91","6,519.00",553.69M,-0.55%,,,6508.24707
12/09/2013,"6,559.48","6,551.99","6,568.44","6,534.74",506.22M,0.11%,,,6496.059082
12/06/2013,"6,551.99","6,498.33","6,555.73","6,496.33",564.65M,0.83%,,,6449.171387
12/05/2013,"6,498.33","6,509.97","6,518.88","6,487.15",558.16M,-0.18%,,,6461.035645
12/04/2013,"6,509.97","6,532.43","6,544.70","6,479.73",780.32M,-0.34%,,,6487.181641
12/03/2013,"6,532.43","6,595.33","6,595.48","6,531.34",685.38M,-0.95%,,,6548.685059
12/02/2013,"6,595.33","6,650.57","6,657.41","6,595.20",559.06M,-0.83%,,,6598.175781
11/29/2013,"6,650.57","6,654.47","6,681.57","6,648.53",535.92M,-0.06%,,,6600.906738
11/28/2013,"6,654.47","6,649.47","6,679.51","6,642.57",462.67M,0.08%,,,6594.808594
11/27/2013,"6,649.47","6,636.22","6,664.14","6,635.71",580.62M,0.20%,,,6589.249512
11/26/2013,"6,636.22","6,694.62","6,696.95","6,636.22",985.38M,-0.87%,,,6638.947754
11/25/2013,"6,694.62","6,674.30","6,709.08","6,674.30",465.83M,0.30%,,,6621.490234
11/22/2013,"6,674.30","6,681.33","6,711.03","6,661.04",495.70M,-0.11%,,,6627.515625
11/21/2013,"6,681.33","6,681.08","6,697.69","6,643.47",483.79M,0.00%,,,6629.235352
11/20/2013,"6,681.08","6,698.01","6,711.42","6,661.70",558.05M,-0.25%,,,6647.496582
11/19/2013,"6,698.01","6,723.46","6,723.46","6,677.85",532.01M,-0.38%,,,6667.524902
11/18/2013,"6,723.46","6,693.44","6,732.10","6,671.63",538.92M,0.45%,,,6637.680664
11/15/2013,"6,693.44","6,666.13","6,703.12","6,665.45",587.73M,0.41%,,,6608.88623
11/14/2013,"6,666.13","6,630.00","6,696.16","6,630.00",624.13M,0.54%,,,6587.130371
11/13/2013,"6,630.00","6,726.79","6,726.81","6,613.98",723.06M,-1.44%,,,6673.21875
11/12/2013,"6,726.79","6,728.37","6,728.37","6,693.26",589.42M,-0.02%,,,6672.228516
11/11/2013,"6,728.37","6,708.42","6,744.77","6,702.01",633.86M,0.30%,,,6652.725586
11/08/2013,"6,708.42","6,697.22","6,713.90","6,643.86",598.94M,0.17%,,,6647.046387
11/07/2013,"6,697.22","6,741.69","6,779.18","6,679.99",641.43M,-0.66%,,,6686.857422
11/06/2013,"6,741.69","6,746.84","6,768.16","6,735.64",636.59M,-0.08%,,,6692.96582
11/05/2013,"6,746.84","6,763.62","6,773.86","6,708.52",723.67M,-0.25%,,,6704.237793
